,Property_Type,address,Area_of_land,Bedrooms,Bathrooms,HouseSize,Advertiser,contact_num,Price
0,House,"Sudarshana Mawatha, Malabe",10,5,4,4300 sq.ft.,Harendra / Nimna,+94 777 070 666,"39,000,000"
1,House, , , , , , , ,"39,000,000"
2,House,Rajagiriya,20,4,3,4800 sq.ft.,ACQUEST,+94 774 441 266,"150,000,000"
3,House,Battaramulla,18,4,3,5000 sq.ft.,Samson,+94 775 085 544,"70,000,000"
4,House,Pita Kotte,10,4,5,4000 sq.ft.,Exclusive Realtors,+94 776 396 655,"58,000,000"
5,House,Pelawatte,40,5,4,3500 sq.ft.,Exclusive Realtors,+94 776 396 655,"150,000,000"
6,House,"Welisara, Kandana, Nagoda",10,4,2,2 Car parking spaces,Mr.Shafraz,+94 712 980 558,"18,500,000"
7,House,"Lower Dickson Road, Galle",8.52,3,2,2240 sq.ft.,Devon / Sasindu,+94 713 756 049,"45,000,000"
8,House,"Melder Place, Nugegoda",6,3,3,2357 sq.ft.,Devon / Sasindu,+94 713 756 049,"46,200,000"
9,House,Dalugama,6.25,3,3,1900 sq.ft.,Devon / Sasindu,+94 713 756 049,"30,300,000"
10,House,"Malabe Road, Kottawa",6.25,3,3,1383 sq.ft.,Prime Group,+94 713 756 049,"19,400,000"
11,House,"Ganemulla 2nd Lane, Kandana.",19.15,4,2,2165 sq.ft.,Mrs. Weerasinghe,+41 795 959 667,"17,500,000"
12,House,Kadawatha,18,3,2,1502 sq.ft.,Chetiya,+94 769 108 664,"12,500,000"
13,House,"Pelawatta, Pelawatte",11,5+,6,5000 sq.ft.,First Property Management & Assets ( Pvt,+94 714 000 888,"165,000,000"
14,House,Piliyandala,23.17,4,3,3470 sq.ft.,Anil,+94 774 952 651,"29,500,000"
15,House,"Polwatta Road, Pannipitiya",29,5+,7,4536 sq.ft.,,+94 117 990 330,"54,000,000"
16,House,"Near Attidiya Rd, Dehiwala",16.72,5,4,3900 sq.ft.,Kumara pitigala,+94 760 300 600,"45,000,000"
17,House,"wijerama, Nugegoda",12.2,5,4,3800 sq.ft.,chathuranga,+94 719 091 099,"65,000,000"
18,House,"Mission Road,Pita Kotte",11.8,5,3,4000 sq.ft.,Reach Real Estate Sri Lanka,+94 772 525 457,"53,000,000"
19,House,"Robert Gunawardena Mawatha, Battaramulla",20,4,3,4455 sq.ft.,Straight Sale (Pvt) Ltd,+94 775 300 048,"58,500,000"
20,House,"DALUPOTHA NEGOMBO, Negombo",10,4,3,2800 sq.ft.,R M A PAUL,+94 764 871 907,"25,000,000"
